State,Year,Quarter,Data From,Data To
jharkhand,2022,2,1648751400000,1656354600000
jharkhand,2022,3,1656613800000,1664303400000
jharkhand,2022,4,1664562600000,1672165800000
karnataka,2018,1,1514745000000,1522175400000
karnataka,2018,2,1522521000000,1530124200000
karnataka,2018,3,1530383400000,1538073000000
karnataka,2018,4,1538332200000,1545935400000
karnataka,2019,1,1546281000000,1553711400000
karnataka,2019,2,1554057000000,1561660200000
karnataka,2019,3,1561919400000,1569609000000
karnataka,2019,4,1569868200000,1577471400000
karnataka,2020,1,1577817000000,1585333800000
karnataka,2020,2,1585679400000,1593282600000
karnataka,2020,3,1593541800000,1601231400000
karnataka,2020,4,1601490600000,1609093800000
karnataka,2021,1,1609439400000,1616869800000
karnataka,2021,2,1617215400000,1624818600000
karnataka,2021,3,1625077800000,1632767400000
karnataka,2021,4,1633026600000,1640629800000
karnataka,2022,1,1640975400000,1648405800000
karnataka,2022,2,1648751400000,1656354600000
karnataka,2022,3,1656613800000,1664303400000
karnataka,2022,4,1664562600000,1672165800000
kerala,2018,1,1514745000000,1522175400000
kerala,2018,2,1522521000000,1530124200000
kerala,2018,3,1530383400000,1538073000000
kerala,2018,4,1538332200000,1545935400000
kerala,2019,1,1546281000000,1553711400000
kerala,2019,2,1554057000000,1561660200000
kerala,2019,3,1561919400000,1569609000000
kerala,2019,4,1569868200000,1577471400000
kerala,2020,1,1577817000000,1585333800000
kerala,2020,2,1585679400000,1593282600000
kerala,2020,3,1593541800000,1601231400000
kerala,2020,4,1601490600000,1609093800000
kerala,2021,1,1609439400000,1616869800000
kerala,2021,2,1617215400000,1624818600000
kerala,2021,3,1625077800000,1632767400000
kerala,2021,4,1633026600000,1640629800000
kerala,2022,1,1640975400000,1648405800000
kerala,2022,2,1648751400000,1656354600000
kerala,2022,3,1656613800000,1664303400000
kerala,2022,4,1664562600000,1672165800000
ladakh,2018,1,1514745000000,1522175400000
ladakh,2018,2,1522521000000,1530124200000
ladakh,2018,3,1530383400000,1538073000000
ladakh,2018,4,1538332200000,1545935400000
ladakh,2019,1,1546281000000,1553711400000
ladakh,2019,2,1554057000000,1561660200000
ladakh,2019,3,1561919400000,1569609000000
ladakh,2019,4,1569868200000,1577471400000
ladakh,2020,1,1577817000000,1585333800000
ladakh,2020,2,1585679400000,1593282600000
ladakh,2020,3,1593541800000,1601231400000
ladakh,2020,4,1601490600000,1609093800000
ladakh,2021,1,1609439400000,1616869800000
ladakh,2021,2,1617215400000,1624818600000
ladakh,2021,3,1625077800000,1632767400000
ladakh,2021,4,1633026600000,1640629800000
ladakh,2022,1,1640975400000,1648405800000
ladakh,2022,2,1648751400000,1656354600000
ladakh,2022,3,1656613800000,1664303400000
ladakh,2022,4,1664562600000,1672165800000
lakshadweep,2018,1,1514745000000,1522175400000
lakshadweep,2018,2,1522521000000,1530124200000
lakshadweep,2018,3,1530383400000,1538073000000
lakshadweep,2018,4,1538332200000,1545935400000
lakshadweep,2019,1,1546281000000,1553711400000
lakshadweep,2019,2,1554057000000,1561660200000
lakshadweep,2019,3,1561919400000,1569609000000
lakshadweep,2019,4,1569868200000,1577471400000
lakshadweep,2020,1,1577817000000,1585333800000
lakshadweep,2020,2,1585679400000,1593282600000
lakshadweep,2020,3,1593541800000,1601231400000
lakshadweep,2020,4,1601490600000,1609093800000
lakshadweep,2021,1,1609439400000,1616869800000
lakshadweep,2021,2,1617215400000,1624818600000
lakshadweep,2021,3,1625077800000,1632767400000
lakshadweep,2021,4,1633026600000,1640629800000
lakshadweep,2022,1,1640975400000,1648405800000
lakshadweep,2022,2,1648751400000,1656354600000
lakshadweep,2022,3,1656613800000,1664303400000
lakshadweep,2022,4,1664562600000,1672165800000
madhya-pradesh,2018,1,1514745000000,1522175400000
madhya-pradesh,2018,2,1522521000000,1530124200000
madhya-pradesh,2018,3,1530383400000,1538073000000
madhya-pradesh,2018,4,1538332200000,1545935400000
madhya-pradesh,2019,1,1546281000000,1553711400000
madhya-pradesh,2019,2,1554057000000,1561660200000
madhya-pradesh,2019,3,1561919400000,1569609000000
madhya-pradesh,2019,4,1569868200000,1577471400000
madhya-pradesh,2020,1,1577817000000,1585333800000
madhya-pradesh,2020,2,1585679400000,1593282600000
madhya-pradesh,2020,3,1593541800000,1601231400000
madhya-pradesh,2020,4,1601490600000,1609093800000
madhya-pradesh,2021,1,1609439400000,1616869800000
madhya-pradesh,2021,2,1617215400000,1624818600000
madhya-pradesh,2021,3,1625077800000,1632767400000
madhya-pradesh,2021,4,1633026600000,1640629800000
madhya-pradesh,2022,1,1640975400000,1648405800000
madhya-pradesh,2022,2,1648751400000,1656354600000
madhya-pradesh,2022,3,1656613800000,1664303400000
madhya-pradesh,2022,4,1664562600000,1672165800000
maharashtra,2018,1,1514745000000,1522175400000
maharashtra,2018,2,1522521000000,1530124200000
maharashtra,2018,3,1530383400000,1538073000000
maharashtra,2018,4,1538332200000,1545935400000
maharashtra,2019,1,1546281000000,1553711400000
maharashtra,2019,2,1554057000000,1561660200000
maharashtra,2019,3,1561919400000,1569609000000
maharashtra,2019,4,1569868200000,1577471400000
maharashtra,2020,1,1577817000000,1585333800000
maharashtra,2020,2,1585679400000,1593282600000
maharashtra,2020,3,1593541800000,1601231400000
maharashtra,2020,4,1601490600000,1609093800000
maharashtra,2021,1,1609439400000,1616869800000
maharashtra,2021,2,1617215400000,1624818600000
maharashtra,2021,3,1625077800000,1632767400000
maharashtra,2021,4,1633026600000,1640629800000
maharashtra,2022,1,1640975400000,1648405800000
maharashtra,2022,2,1648751400000,1656354600000
maharashtra,2022,3,1656613800000,1664303400000
maharashtra,2022,4,1664562600000,1672165800000
manipur,2018,1,1514745000000,1522175400000
manipur,2018,2,1522521000000,1530124200000
manipur,2018,3,1530383400000,1538073000000
manipur,2018,4,1538332200000,1545935400000
manipur,2019,1,1546281000000,1553711400000
manipur,2019,2,1554057000000,1561660200000
manipur,2019,3,1561919400000,1569609000000
manipur,2019,4,1569868200000,1577471400000
manipur,2020,1,1577817000000,1585333800000
manipur,2020,2,1585679400000,1593282600000
manipur,2020,3,1593541800000,1601231400000
manipur,2020,4,1601490600000,1609093800000
manipur,2021,1,1609439400000,1616869800000
manipur,2021,2,1617215400000,1624818600000
manipur,2021,3,1625077800000,1632767400000
manipur,2021,4,1633026600000,1640629800000
manipur,2022,1,1640975400000,1648405800000
manipur,2022,2,1648751400000,1656354600000
manipur,2022,3,1656613800000,1664303400000
manipur,2022,4,1664562600000,1672165800000
meghalaya,2018,1,1514745000000,1522175400000
meghalaya,2018,2,1522521000000,1530124200000
meghalaya,2018,3,1530383400000,1538073000000
meghalaya,2018,4,1538332200000,1545935400000
meghalaya,2019,1,1546281000000,1553711400000
meghalaya,2019,2,1554057000000,1561660200000
meghalaya,2019,3,1561919400000,1569609000000
meghalaya,2019,4,1569868200000,1577471400000
meghalaya,2020,1,1577817000000,1585333800000
meghalaya,2020,2,1585679400000,1593282600000
