Place Name,Total Transactions count,Total Amount,Quarter,Year,State
charaideo district,653536,1267458929.209504,3,2022,assam
darrang district,1805090,3233214492.573066,3,2022,assam
kamrup metropolitan district,39606017,69410860235.2296,3,2022,assam
hailakandi district,1560929,2991549159.652971,3,2022,assam
barpeta district,4561028,9149960686.489628,3,2022,assam
goalpara district,2054687,4590076568.303604,3,2022,assam
biswanath district,668091,1279949511.7036178,3,2022,assam
jorhat district,2264530,3694675386.605816,3,2022,assam
tinsukia district,1847473,3636219479.501451,4,2022,assam
lakhimpur district,1397791,2505469638.516078,4,2022,assam
kamrup district,3473735,6488564510.007879,4,2022,assam
kokrajhar district,1249751,2609828653.3645363,4,2022,assam
karbi anglong district,1030879,2189719279.796463,4,2022,assam
sivasagar district,883421,1544157685.457902,4,2022,assam
dibrugarh district,2781759,4540236249.409073,4,2022,assam
south salmara mancachar district,763570,1935371793.7394412,4,2022,assam
nagaon district,3466436,7442294882.997084,4,2022,assam
dhubri district,2801543,5696918774.408015,4,2022,assam
golaghat district,1247652,2348259381.786536,4,2022,assam
udalguri district,1048339,1929847430.1772633,4,2022,assam
majuli district,170716,264376860.9660782,4,2022,assam
sonitpur district,3570910,5955878582.0059595,4,2022,assam
hojai district,1188838,2311470243.430886,4,2022,assam
marigaon district,1732867,3678892463.487752,4,2022,assam
chirang district,763852,1640747076.199343,4,2022,assam
cachar district,3169492,6146128032.607636,4,2022,assam
nalbari district,956563,1913556549.936222,4,2022,assam
west karbi anglong district,139542,264423911.3807878,4,2022,assam
dhemaji district,913590,1749366721.703061,4,2022,assam
karimganj district,1635099,3857130937.197542,4,2022,assam
bongaigaon district,2301942,4663672960.523356,4,2022,assam
dima hasao district,323049,753858279.4564474,4,2022,assam
baksa district,1159058,2539432688.237523,4,2022,assam
charaideo district,620063,1222334993.4406872,4,2022,assam
darrang district,1903379,3947924967.053905,4,2022,assam
kamrup metropolitan district,48873033,84183380553.41818,4,2022,assam
hailakandi district,1179854,2307448482.382268,4,2022,assam
barpeta district,5914147,12025232756.808722,4,2022,assam
goalpara district,2471469,5401152298.290414,4,2022,assam
biswanath district,770207,1431848172.336092,4,2022,assam
jorhat district,2231248,3528373897.52103,4,2022,assam
madhepura district,79822,85073945.80231695,1,2018,bihar
purnia district,132262,139947209.01716912,1,2018,bihar
nalanda district,208901,190613485.9647957,1,2018,bihar
buxar district,61490,56987162.135050416,1,2018,bihar
darbhanga district,217364,224628301.6280015,1,2018,bihar
nawada district,78480,81161592.44495997,1,2018,bihar
jamui district,48226,44565632.6441077,1,2018,bihar
sheikhpura district,20728,23630132.07561916,1,2018,bihar
siwan district,129094,169228975.706601,1,2018,bihar
muzaffarpur district,388401,394717112.59667057,1,2018,bihar
patna district,1197281,1282492050.639251,1,2018,bihar
jehanabad district,52401,47274894.952514395,1,2018,bihar
rohtas district,201231,181378994.97860852,1,2018,bihar
begusarai district,134911,130265729.662316,1,2018,bihar
supaul district,85807,71313091.35844366,1,2018,bihar
sitamarhi district,145625,162281680.1364338,1,2018,bihar
saran district,149786,171839806.769135,1,2018,bihar
arwal district,31620,27549102.079531398,1,2018,bihar
vaishali district,201678,211794626.3246635,1,2018,bihar
pashchim champaran district,215866,236190496.6430266,1,2018,bihar
gopalganj district,107134,141070590.5118508,1,2018,bihar
lakhisarai district,42937,43611675.07515131,1,2018,bihar
aurangabad district,114354,114737537.8615089,1,2018,bihar
kaimur bhabua district,64493,70110158.70484145,1,2018,bihar
araria district,81597,95184067.64819424,1,2018,bihar
munger district,64639,64455596.263603695,1,2018,bihar
katihar district,138075,129701645.5273873,1,2018,bihar
khagaria district,65892,71955894.82466315,1,2018,bihar
saharsa district,88087,82038819.77477607,1,2018,bihar
bhagalpur district,174456,172905796.12309912,1,2018,bihar
madhubani district,173946,203080851.021446,1,2018,bihar
kishanganj district,38179,45880790.35124814,1,2018,bihar
gaya district,231873,227470166.14682057,1,2018,bihar
samastipur district,222241,213634124.8258972,1,2018,bihar
banka district,39192,32623795.99344401,1,2018,bihar
purbi champaran district,254643,264192918.45434484,1,2018,bihar
sheohar district,25700,22183882.57736211,1,2018,bihar
bhojpur district,115890,117985836.7722633,1,2018,bihar
madhepura district,128793,257666353.53331414,2,2018,bihar
purnia district,200492,341288206.3514095,2,2018,bihar
nalanda district,306468,368156034.4352696,2,2018,bihar
buxar district,95499,121370124.3520751,2,2018,bihar
darbhanga district,322140,569573309.6554229,2,2018,bihar
nawada district,117582,171877320.6743109,2,2018,bihar
jamui district,73817,105507695.6670196,2,2018,bihar
sheikhpura district,30292,43496026.13430948,2,2018,bihar
siwan district,216997,449888077.3921717,2,2018,bihar
muzaffarpur district,554675,841276317.7006266,2,2018,bihar
patna district,1650942,2328839155.637871,2,2018,bihar
jehanabad district,76302,94030824.14988841,2,2018,bihar
rohtas district,281535,364889751.108993,2,2018,bihar
begusarai district,200949,276462420.95988256,2,2018,bihar
supaul district,120248,207587718.3219347,2,2018,bihar
sitamarhi district,207834,327556110.6386512,2,2018,bihar
saran district,261588,474215326.87658095,2,2018,bihar
arwal district,41799,51924029.92783449,2,2018,bihar
vaishali district,316405,471071129.4019304,2,2018,bihar
pashchim champaran district,305553,542379988.9027045,2,2018,bihar
gopalganj district,176783,361155964.2833132,2,2018,bihar
lakhisarai district,63428,79811566.97732757,2,2018,bihar
aurangabad district,166360,242694823.7303332,2,2018,bihar
kaimur bhabua district,95278,133155808.1125324,2,2018,bihar
araria district,144230,340399877.3329379,2,2018,bihar
munger district,104641,135654469.06000388,2,2018,bihar
katihar district,218980,363989212.7444124,2,2018,bihar
khagaria district,107663,171833273.74253872,2,2018,bihar
saharsa district,137218,228422183.974468,2,2018,bihar
bhagalpur district,265147,373912200.78000844,2,2018,bihar
madhubani district,286112,554829469.6286855,2,2018,bihar
kishanganj district,68492,137867030.2790136,2,2018,bihar
gaya district,324390,438042055.7809131,2,2018,bihar
samastipur district,316985,502582636.03288096,2,2018,bihar
banka district,62184,71579691.62372303,2,2018,bihar
purbi champaran district,373033,650452550.5678003,2,2018,bihar
sheohar district,31877,49770706.400708936,2,2018,bihar
bhojpur district,179667,260921666.7985403,2,2018,bihar
madhepura district,149943,336637863.733843,3,2018,bihar
purnia district,254555,489478561.6334036,3,2018,bihar
nalanda district,896006,768203889.8354422,3,2018,bihar
buxar district,141186,188136993.80738562,3,2018,bihar
darbhanga district,413648,764466707.7610799,3,2018,bihar
nawada district,209878,289802022.43572944,3,2018,bihar
jamui district,104140,152652365.3669844,3,2018,bihar
sheikhpura district,37393,56373786.91673914,3,2018,bihar
siwan district,272311,538177446.0290899,3,2018,bihar
muzaffarpur district,959708,1265457842.072181,3,2018,bihar
patna district,3360157,3873142430.776816,3,2018,bihar
jehanabad district,158009,154263782.7635519,3,2018,bihar
rohtas district,701262,668806719.3479261,3,2018,bihar
begusarai district,226986,368522165.54476273,3,2018,bihar
supaul district,165526,272659476.21683383,3,2018,bihar
sitamarhi district,266426,479856960.6130354,3,2018,bihar
saran district,366520,636933865.4864707,3,2018,bihar
arwal district,78393,92938267.76066552,3,2018,bihar
vaishali district,427385,660314110.761917,3,2018,bihar
pashchim champaran district,427544,778844052.9981706,3,2018,bihar
gopalganj district,218210,422499144.20198405,3,2018,bihar
lakhisarai district,129690,136115937.9713898,3,2018,bihar
aurangabad district,269704,354055669.1867602,3,2018,bihar
kaimur bhabua district,128090,180251318.44516632,3,2018,bihar
araria district,167608,428450949.7257032,3,2018,bihar
munger district,136515,186691409.16526163,3,2018,bihar
katihar district,252857,513132287.7985549,3,2018,bihar
khagaria district,145602,245267621.7634195,3,2018,bihar
saharsa district,185665,334445151.1359033,3,2018,bihar
bhagalpur district,422204,579615297.8454921,3,2018,bihar
madhubani district,353968,681883536.8483069,3,2018,bihar
kishanganj district,94729,232008456.55016172,3,2018,bihar
gaya district,919453,893929004.0264462,3,2018,bihar
samastipur district,400049,660092785.6814661,3,2018,bihar
banka district,86362,101993248.9860617,3,2018,bihar
purbi champaran district,544285,921447417.5581728,3,2018,bihar
sheohar district,43723,79579549.20914777,3,2018,bihar
bhojpur district,252114,348676280.93945086,3,2018,bihar
madhepura district,206209,482649436.4960645,4,2018,bihar
purnia district,323276,731281592.8687838,4,2018,bihar
nalanda district,666931,846144772.7533281,4,2018,bihar
buxar district,166308,281722827.8503226,4,2018,bihar
darbhanga district,515957,1142706537.988927,4,2018,bihar
nawada district,225093,417621899.19577783,4,2018,bihar
jamui district,156998,267317791.2807419,4,2018,bihar
sheikhpura district,52160,94354176.72548714,4,2018,bihar
siwan district,366863,813062416.7235221,4,2018,bihar
muzaffarpur district,886640,1682571935.182583,4,2018,bihar
patna district,3256138,4907266831.021729,4,2018,bihar
jehanabad district,176508,216771088.343031,4,2018,bihar
rohtas district,534230,818426211.762433,4,2018,bihar
begusarai district,326254,570039331.1250697,4,2018,bihar
supaul district,207479,393510177.4705521,4,2018,bihar
sitamarhi district,338316,664456738.5784366,4,2018,bihar
saran district,495166,976827835.416697,4,2018,bihar
arwal district,94144,128451766.47901759,4,2018,bihar
vaishali district,522642,964760831.5562135,4,2018,bihar
pashchim champaran district,582470,1215256332.6509812,4,2018,bihar
gopalganj district,288486,665355068.2331328,4,2018,bihar
lakhisarai district,115486,181734953.4666848,4,2018,bihar
aurangabad district,345707,535217438.3518773,4,2018,bihar
kaimur bhabua district,175587,291814682.8445456,4,2018,bihar
araria district,224141,643458080.2643342,4,2018,bihar
munger district,173044,283385408.5237344,4,2018,bihar
katihar district,364308,755567034.96501,4,2018,bihar
khagaria district,175089,336919554.4997294,4,2018,bihar
saharsa district,226972,503942086.3920203,4,2018,bihar
bhagalpur district,460720,770462001.2139144,4,2018,bihar
madhubani district,480479,1055071917.028533,4,2018,bihar
kishanganj district,130169,375883248.4677948,4,2018,bihar
gaya district,724866,1079658570.770959,4,2018,bihar
samastipur district,529944,1020002681.3963059,4,2018,bihar
banka district,120661,153837814.6988419,4,2018,bihar
purbi champaran district,732175,1458571863.5112112,4,2018,bihar
sheohar district,57310,111505767.66156699,4,2018,bihar
bhojpur district,307475,560408464.8180625,4,2018,bihar
madhepura district,264883,576254457.2110447,1,2019,bihar
purnia district,432736,880288859.2093346,1,2019,bihar
nalanda district,946010,1077003028.991115,1,2019,bihar
buxar district,269395,400579206.461272,1,2019,bihar
darbhanga district,763583,1448771357.599244,1,2019,bihar
nawada district,358636,558537691.0189606,1,2019,bihar
jamui district,254802,390616872.39251614,1,2019,bihar
sheikhpura district,84957,128265941.3321425,1,2019,bihar
siwan district,551354,1022001680.3459771,1,2019,bihar
muzaffarpur district,1262299,2061506662.05161,1,2019,bihar
patna district,7894598,11217940482.12446,1,2019,bihar
jehanabad district,281786,306816678.8817686,1,2019,bihar
rohtas district,879724,1104230103.111794,1,2019,bihar
begusarai district,456148,695166454.2759526,1,2019,bihar
supaul district,291495,551617489.0466162,1,2019,bihar
sitamarhi district,511026,830161563.236364,1,2019,bihar
saran district,688941,1194323043.67222,1,2019,bihar
arwal district,166197,181951883.21584398,1,2019,bihar
vaishali district,749004,1174950625.5845962,1,2019,bihar
pashchim champaran district,938338,1627339576.736521,1,2019,bihar
gopalganj district,436537,840103896.7641629,1,2019,bihar
lakhisarai district,172050,249104102.7771268,1,2019,bihar
aurangabad district,568106,821609333.8419166,1,2019,bihar
kaimur bhabua district,286810,419488028.4722478,1,2019,bihar
araria district,303436,771182123.8666478,1,2019,bihar
munger district,244480,359390718.4405814,1,2019,bihar
katihar district,545240,978868951.5512419,1,2019,bihar
khagaria district,227052,388654881.11228883,1,2019,bihar
saharsa district,325350,701328047.2284671,1,2019,bihar
bhagalpur district,669334,944495875.577175,1,2019,bihar
madhubani district,725008,1443743324.505893,1,2019,bihar
kishanganj district,172840,475097517.172268,1,2019,bihar
gaya district,1025084,1460009336.4335551,1,2019,bihar
samastipur district,792952,1239854737.091689,1,2019,bihar
banka district,183133,217589903.4521794,1,2019,bihar
purbi champaran district,1069790,1856147556.11152,1,2019,bihar
sheohar district,93729,142778197.8470657,1,2019,bihar
bhojpur district,469391,765057325.7810102,1,2019,bihar
madhepura district,249723,707798711.0540556,2,2019,bihar
purnia district,430976,1078967975.372056,2,2019,bihar
nalanda district,710450,1254625995.649563,2,2019,bihar
buxar district,231824,475000124.2031771,2,2019,bihar
darbhanga district,727675,1822608072.265894,2,2019,bihar
nawada district,348121,761867645.7594408,2,2019,bihar
jamui district,273377,595497429.4021461,2,2019,bihar
sheikhpura district,75522,150977914.7667327,2,2019,bihar
siwan district,533899,1255140385.291857,2,2019,bihar
muzaffarpur district,1260648,2730311714.0709352,2,2019,bihar
patna district,13421445,26125484618.416542,2,2019,bihar
jehanabad district,209202,370093501.8179393,2,2019,bihar
rohtas district,659316,1290203427.3036072,2,2019,bihar
begusarai district,420369,861135419.9108714,2,2019,bihar
supaul district,261835,621350641.7630955,2,2019,bihar
sitamarhi district,464001,1054440854.873033,2,2019,bihar
saran district,660816,1511533675.4801161,2,2019,bihar
arwal district,127961,228089174.5008791,2,2019,bihar
vaishali district,706255,1503710719.585722,2,2019,bihar
pashchim champaran district,754956,1807646307.200506,2,2019,bihar
gopalganj district,419736,1042999794.764029,2,2019,bihar
lakhisarai district,140776,288144511.14097095,2,2019,bihar
aurangabad district,466316,1028918812.5797839,2,2019,bihar
kaimur bhabua district,233890,502827065.78767604,2,2019,bihar
araria district,275976,848688675.9117857,2,2019,bihar
munger district,225552,434455542.9933263,2,2019,bihar
katihar district,500894,1262216431.763846,2,2019,bihar
khagaria district,211775,474324786.2517421,2,2019,bihar
saharsa district,309217,777991635.3881919,2,2019,bihar
bhagalpur district,615040,1150904188.2353358,2,2019,bihar
madhubani district,689839,1830248520.944854,2,2019,bihar
kishanganj district,172899,551086091.1205673,2,2019,bihar
gaya district,919937,1718017778.563915,2,2019,bihar
samastipur district,659872,1446039768.462154,2,2019,bihar
banka district,149782,265207653.10207573,2,2019,bihar
purbi champaran district,937122,2207821269.533753,2,2019,bihar
sheohar district,77989,173885487.0659579,2,2019,bihar
bhojpur district,425496,922175961.2433462,2,2019,bihar
madhepura district,285255,739372428.9356571,3,2019,bihar
purnia district,538629,1275466657.188119,3,2019,bihar
nalanda district,734808,1272371591.0222802,3,2019,bihar
buxar district,233814,437029984.60377914,3,2019,bihar
darbhanga district,802970,1893397261.6964972,3,2019,bihar
nawada district,372689,810703742.8400732,3,2019,bihar
jamui district,293099,629177159.6217787,3,2019,bihar
sheikhpura district,74944,150326592.720049,3,2019,bihar
siwan district,609065,1237987048.784883,3,2019,bihar
muzaffarpur district,1526447,2988596103.6486,3,2019,bihar
patna district,13404838,29128507191.15009,3,2019,bihar
jehanabad district,215894,348008740.3604237,3,2019,bihar
rohtas district,637472,1189129969.5839431,3,2019,bihar
begusarai district,486249,950089935.3528173,3,2019,bihar
supaul district,303444,702060184.942025,3,2019,bihar
sitamarhi district,515053,1195168691.459416,3,2019,bihar
saran district,768342,1481370486.840439,3,2019,bihar
arwal district,129870,205282509.15999568,3,2019,bihar
vaishali district,835929,1574270004.89352,3,2019,bihar
pashchim champaran district,794590,1810006586.81644,3,2019,bihar
gopalganj district,492551,1040012340.6442361,3,2019,bihar
lakhisarai district,166181,301418673.57495433,3,2019,bihar
aurangabad district,489823,976700580.1242043,3,2019,bihar
kaimur bhabua district,223817,430488298.6257053,3,2019,bihar
araria district,337253,991970413.1173825,3,2019,bihar
munger district,284046,462815661.32538563,3,2019,bihar
katihar district,605697,1365069712.4779541,3,2019,bihar
khagaria district,267467,508683169.7799946,3,2019,bihar
saharsa district,364988,859959130.6399225,3,2019,bihar
bhagalpur district,666207,1192702908.789947,3,2019,bihar
madhubani district,732727,1815165089.571844,3,2019,bihar
kishanganj district,212575,605260943.6339835,3,2019,bihar
gaya district,1275920,1904955491.409588,3,2019,bihar
samastipur district,725863,1503897789.870506,3,2019,bihar
banka district,168148,282598675.18867797,3,2019,bihar
purbi champaran district,1028626,2348550130.608562,3,2019,bihar
sheohar district,83755,185572590.80613798,3,2019,bihar
bhojpur district,450855,898638782.4700944,3,2019,bihar
madhepura district,395526,1113340860.707919,4,2019,bihar
purnia district,735598,1873193948.338463,4,2019,bihar
nalanda district,1426896,1803708280.732994,4,2019,bihar
buxar district,361937,672103503.3652604,4,2019,bihar
darbhanga district,1059279,2585981569.648556,4,2019,bihar
nawada district,547595,1167043567.038609,4,2019,bihar
jamui district,407483,905118756.0069449,4,2019,bihar
sheikhpura district,124377,225016146.8577698,4,2019,bihar
siwan district,865806,1926229486.784398,4,2019,bihar
muzaffarpur district,1900732,4136536726.0490828,4,2019,bihar
patna district,17235243,37707384360.64211,4,2019,bihar
jehanabad district,343084,501279185.20292896,4,2019,bihar
rohtas district,1129246,1764430308.2236798,4,2019,bihar
begusarai district,687513,1400383169.4259589,4,2019,bihar
supaul district,418643,1026480093.458266,4,2019,bihar
sitamarhi district,686989,1556217974.314738,4,2019,bihar
saran district,1039542,2265346427.153832,4,2019,bihar
arwal district,207671,302520117.7581423,4,2019,bihar
vaishali district,1092261,2283531751.166889,4,2019,bihar
pashchim champaran district,1130965,2726720273.823254,4,2019,bihar
gopalganj district,650123,1570634885.793627,4,2019,bihar
lakhisarai district,254456,472346955.58384544,4,2019,bihar
aurangabad district,751614,1434726640.804569,4,2019,bihar
kaimur bhabua district,333727,644719192.0442938,4,2019,bihar
araria district,462746,1410655861.466377,4,2019,bihar
munger district,353666,657222418.8557158,4,2019,bihar
katihar district,772131,1876729627.392462,4,2019,bihar
khagaria district,344043,784039610.1579978,4,2019,bihar
saharsa district,495346,1211669206.613337,4,2019,bihar
bhagalpur district,914156,1720136935.8588293,4,2019,bihar
madhubani district,1038907,2655204864.3952923,4,2019,bihar
kishanganj district,279243,840550915.1521785,4,2019,bihar
gaya district,1627240,2505031784.840474,4,2019,bihar
samastipur district,995634,2217497573.6966133,4,2019,bihar
banka district,241765,424522416.15462667,4,2019,bihar
purbi champaran district,1432859,3375935181.655295,4,2019,bihar
sheohar district,120327,266342849.8116846,4,2019,bihar
bhojpur district,665945,1302893150.832126,4,2019,bihar
madhepura district,480526,1364725313.7030299,1,2020,bihar
purnia district,893061,2167563281.850881,1,2020,bihar
nalanda district,1053570,2072042821.1862538,1,2020,bihar
buxar district,388504,827738991.9185872,1,2020,bihar
darbhanga district,1296525,3181062829.792515,1,2020,bihar
nawada district,529218,1196256748.0600379,1,2020,bihar
jamui district,394536,865572635.0054713,1,2020,bihar
sheikhpura district,130669,285519415.0277937,1,2020,bihar
siwan district,1271446,3110551570.9359193,1,2020,bihar
muzaffarpur district,2083611,4863182774.540835,1,2020,bihar
patna district,15560992,39935619593.17576,1,2020,bihar
jehanabad district,317868,622588363.5178896,1,2020,bihar
rohtas district,989497,2233802827.065363,1,2020,bihar
begusarai district,805744,1778528408.1571472,1,2020,bihar
supaul district,548881,1442744378.078645,1,2020,bihar
sitamarhi district,785267,1906088096.2837322,1,2020,bihar
saran district,1173182,2601605429.0124073,1,2020,bihar
arwal district,188963,369500731.1945243,1,2020,bihar
vaishali district,1177251,2609194507.873907,1,2020,bihar
pashchim champaran district,1495660,3918107336.0968537,1,2020,bihar
gopalganj district,838277,2019980907.0564551,1,2020,bihar
lakhisarai district,261395,541750309.9857423,1,2020,bihar
aurangabad district,790573,1777915098.773863,1,2020,bihar
kaimur bhabua district,362763,798668648.0287902,1,2020,bihar
araria district,573320,1691300733.350873,1,2020,bihar
munger district,386821,756628791.9246718,1,2020,bihar
katihar district,927801,2253746832.619981,1,2020,bihar
khagaria district,446511,1116121644.024855,1,2020,bihar
saharsa district,592496,1538256331.5165472,1,2020,bihar
bhagalpur district,1141739,2607337583.9573,1,2020,bihar
madhubani district,1264352,3304637932.8787403,1,2020,bihar
kishanganj district,366857,1105518979.6245072,1,2020,bihar
gaya district,1524983,2986729749.072416,1,2020,bihar
samastipur district,1233758,2987274105.5777264,1,2020,bihar
banka district,274099,495594270.36063826,1,2020,bihar
purbi champaran district,1671939,4068019841.6956363,1,2020,bihar
sheohar district,138460,323926587.2337144,1,2020,bihar
bhojpur district,720700,1531449127.087214,1,2020,bihar
madhepura district,694489,1926390841.1668923,2,2020,bihar
purnia district,1220645,3144206568.857592,2,2020,bihar
nalanda district,1236612,2511735768.0476575,2,2020,bihar
buxar district,528766,1138890071.651262,2,2020,bihar
darbhanga district,1660540,3932060943.723905,2,2020,bihar
nawada district,830738,1856990665.199387,2,2020,bihar
jamui district,616481,1292352801.0293171,2,2020,bihar
sheikhpura district,190302,406544187.49615973,2,2020,bihar
siwan district,1496472,3205163656.1560264,2,2020,bihar
muzaffarpur district,2572251,5903193156.447356,2,2020,bihar
patna district,13807801,37859920784.96573,2,2020,bihar
jehanabad district,429941,878935641.2177955,2,2020,bihar
rohtas district,1317112,3012571093.151422,2,2020,bihar
begusarai district,1013896,2205771257.648556,2,2020,bihar
supaul district,782514,1940245968.2229393,2,2020,bihar
sitamarhi district,1089786,2443446938.800221,2,2020,bihar
saran district,1590231,3305092760.432732,2,2020,bihar
arwal district,268085,564599035.4340922,2,2020,bihar
vaishali district,1501134,3209993082.146053,2,2020,bihar
pashchim champaran district,1947807,4653237699.000595,2,2020,bihar
gopalganj district,1167013,2541417532.159407,2,2020,bihar
lakhisarai district,363770,767683220.4107254,2,2020,bihar
aurangabad district,1130661,2486444709.1999884,2,2020,bihar
kaimur bhabua district,543289,1285754641.5660431,2,2020,bihar
araria district,858907,2480203645.407244,2,2020,bihar
munger district,522173,1029703568.1861639,2,2020,bihar
katihar district,1255101,3151138413.423568,2,2020,bihar
khagaria district,576287,1467466198.647581,2,2020,bihar
saharsa district,823372,2081765908.636997,2,2020,bihar
bhagalpur district,1561760,3998834364.737462,2,2020,bihar
madhubani district,1777506,4146168147.408863,2,2020,bihar
kishanganj district,526568,1487107954.6460931,2,2020,bihar
gaya district,1972685,4100072381.0730147,2,2020,bihar
samastipur district,1536299,3614031763.283358,2,2020,bihar
banka district,458109,844160854.0753887,2,2020,bihar
purbi champaran district,2357758,5443836316.373771,2,2020,bihar
sheohar district,205238,451476592.3547003,2,2020,bihar
bhojpur district,954643,2037914496.4578981,2,2020,bihar
madhepura district,840190,2407274295.520947,3,2020,bihar
purnia district,1716768,4557372216.14834,3,2020,bihar
nalanda district,1624864,3529746839.253335,3,2020,bihar
buxar district,656065,1455757663.230104,3,2020,bihar
darbhanga district,2323627,5614591300.21832,3,2020,bihar
nawada district,1000893,2308993006.0246663,3,2020,bihar
jamui district,734016,1609232018.776348,3,2020,bihar
sheikhpura district,241583,574111444.3271546,3,2020,bihar
siwan district,1927410,4329423959.004386,3,2020,bihar
muzaffarpur district,3476178,8200376318.760571,3,2020,bihar
patna district,20716631,53687192629.516014,3,2020,bihar
jehanabad district,550190,1104035168.358767,3,2020,bihar
rohtas district,1626703,3856856055.217502,3,2020,bihar
begusarai district,1317210,2893661971.816059,3,2020,bihar
supaul district,923545,2379533644.449113,3,2020,bihar
sitamarhi district,1409661,3409254144.772068,3,2020,bihar
saran district,2089459,4722794813.392222,3,2020,bihar
arwal district,340974,694512744.6371222,3,2020,bihar
vaishali district,2036376,4585312142.295209,3,2020,bihar
pashchim champaran district,2269399,5255815898.1095295,3,2020,bihar
gopalganj district,1415473,3174685073.331356,3,2020,bihar
lakhisarai district,450566,1035626941.2723511,3,2020,bihar
aurangabad district,1435440,3120668555.461432,3,2020,bihar
kaimur bhabua district,624278,1428780291.4634778,3,2020,bihar
araria district,1042498,2994975160.9148684,3,2020,bihar
munger district,679643,1421983383.855388,3,2020,bihar
katihar district,1523754,3853316755.0544763,3,2020,bihar
khagaria district,714776,1852615085.4396431,3,2020,bihar
saharsa district,972500,2472660207.996662,3,2020,bihar
bhagalpur district,2291210,5919155397.532423,3,2020,bihar
madhubani district,2378853,5502534112.219719,3,2020,bihar
kishanganj district,636842,1847126001.013541,3,2020,bihar
gaya district,2533169,5418904171.855324,3,2020,bihar
samastipur district,1964342,4648101415.026892,3,2020,bihar
banka district,535276,1012504549.4394569,3,2020,bihar
purbi champaran district,3014805,7082795603.424081,3,2020,bihar
sheohar district,259484,625127614.8300326,3,2020,bihar
bhojpur district,1209097,2741456517.85939,3,2020,bihar
madhepura district,1155495,3405769861.592245,4,2020,bihar
purnia district,2416041,6313205420.536484,4,2020,bihar
nalanda district,2255217,5113627159.016582,4,2020,bihar
buxar district,963324,2433657273.736909,4,2020,bihar
darbhanga district,3297598,8213612835.37384,4,2020,bihar
nawada district,1338381,3226293360.7975717,4,2020,bihar
jamui district,1013521,2328130984.141419,4,2020,bihar
sheikhpura district,313125,779886887.556597,4,2020,bihar
siwan district,2923089,7277805273.892392,4,2020,bihar
muzaffarpur district,4970912,12202451465.695421,4,2020,bihar
patna district,24443301,59562106826.237236,4,2020,bihar
jehanabad district,767929,1632955082.005651,4,2020,bihar
rohtas district,2274947,5786209443.492434,4,2020,bihar
begusarai district,1917729,4383397822.314561,4,2020,bihar
supaul district,1248616,3451957982.64254,4,2020,bihar
sitamarhi district,1921037,5163962875.829563,4,2020,bihar
saran district,3186771,7973001812.2863655,4,2020,bihar
arwal district,458804,977567078.4541155,4,2020,bihar
vaishali district,2855999,6877998945.9676485,4,2020,bihar
pashchim champaran district,3212814,8105523399.184195,4,2020,bihar
gopalganj district,2155078,5396052519.427364,4,2020,bihar
lakhisarai district,631414,1489033799.4804761,4,2020,bihar
aurangabad district,2000839,4731495349.138017,4,2020,bihar
kaimur bhabua district,804133,1996021958.003662,4,2020,bihar
araria district,1536430,4487761348.603099,4,2020,bihar
munger district,985968,2097436831.3098588,4,2020,bihar
katihar district,2214215,5579698503.842487,4,2020,bihar
khagaria district,1056610,2780348233.324653,4,2020,bihar
saharsa district,1364666,3474389173.253613,4,2020,bihar
bhagalpur district,2991335,7190986202.22508,4,2020,bihar
madhubani district,3371688,8381284790.63908,4,2020,bihar
kishanganj district,891347,2782113132.043217,4,2020,bihar
gaya district,3671183,8039045789.856662,4,2020,bihar
samastipur district,2867496,7160693870.108389,4,2020,bihar
banka district,715298,1444721613.391323,4,2020,bihar
purbi champaran district,4295258,11303073256.04687,4,2020,bihar
sheohar district,340485,925961538.7522073,4,2020,bihar
bhojpur district,1763580,4436373436.272965,4,2020,bihar
madhepura district,1236738,3829336405.4809704,1,2021,bihar
purnia district,2732403,7235829630.468956,1,2021,bihar
nalanda district,2268463,5351626268.902303,1,2021,bihar
buxar district,879471,2401505831.324938,1,2021,bihar
darbhanga district,3456999,8967471837.09712,1,2021,bihar
nawada district,1343218,3497752896.396698,1,2021,bihar
jamui district,1038356,2639451343.197311,1,2021,bihar
sheikhpura district,300298,824998708.3578898,1,2021,bihar
siwan district,2823522,6920358606.864025,1,2021,bihar
muzaffarpur district,5221017,13070944463.381811,1,2021,bihar
patna district,41272981,88998693556.23962,1,2021,bihar
jehanabad district,723928,1700603455.4785092,1,2021,bihar
rohtas district,2216469,6088176848.290617,1,2021,bihar
begusarai district,1977439,4651369214.180332,1,2021,bihar
supaul district,1362458,4085528078.455164,1,2021,bihar
sitamarhi district,1895158,5446770751.154965,1,2021,bihar
saran district,3020459,7424026781.0438,1,2021,bihar
arwal district,430486,1040900664.8794961,1,2021,bihar
vaishali district,2763964,6839038567.825459,1,2021,bihar
pashchim champaran district,3418382,9047860514.271101,1,2021,bihar
gopalganj district,2101332,5212014141.400023,1,2021,bihar
lakhisarai district,613756,1545725649.948939,1,2021,bihar
aurangabad district,1991766,5360695922.721033,1,2021,bihar
kaimur bhabua district,794062,2190183735.765605,1,2021,bihar
araria district,1645629,5106231997.785754,1,2021,bihar
munger district,960092,2192552874.58242,1,2021,bihar
katihar district,2323955,6390929745.816675,1,2021,bihar
khagaria district,1072001,2989173408.7048182,1,2021,bihar
saharsa district,1467040,4023753805.6454988,1,2021,bihar
